dataset,tissue,marker,manual annotation,manual CLname,manual CLID,manual broadtype,DeepSeek-R1 annotation,DeepSeek-R1 broadtype,DeepSeek-R1 BLEU-1,DeepSeek-R1 BLEU-2,DeepSeek-R1 BLEU-avg,DeepSeek-R1 broadtype BLEU-avg,DeepSeek-R1 BLEU-avg-final,DeepSeek-V3 annotation,DeepSeek-V3 broadtype,DeepSeek-V3 BLEU-1,DeepSeek-V3 BLEU-2,DeepSeek-V3 BLEU-avg,DeepSeek-V3 broadtype BLEU-avg,DeepSeek-V3 BLEU-avg-final,DeepSeek-R1-RAG annotation,DeepSeek-R1-RAG broadtype,DeepSeek-R1-RAG BLEU-1,DeepSeek-R1-RAG BLEU-2,DeepSeek-R1-RAG BLEU-avg,DeepSeek-R1-RAG broadtype BLEU-avg,DeepSeek-R1-RAG BLEU-avg-final,DeepSeek-V3-RAG annotation,DeepSeek-V3-RAG broadtype,DeepSeek-V3-RAG BLEU-1,DeepSeek-V3-RAG BLEU-2,DeepSeek-V3-RAG BLEU-avg,DeepSeek-V3-RAG broadtype BLEU-avg,DeepSeek-V3-RAG BLEU-avg-final,DeepSeek-R1-KG-Graph-RAG annotation,DeepSeek-R1-KG-Graph-RAG broadtype,DeepSeek-R1-KG-Graph-RAG BLEU-1,DeepSeek-R1-KG-Graph-RAG BLEU-2,DeepSeek-R1-KG-Graph-RAG BLEU-avg,DeepSeek-R1-KG-Graph-RAG broadtype BLEU-avg,DeepSeek-R1-KG-Graph-RAG BLEU-avg-final,DeepSeek-V3-KG-Graph-RAG annotation,DeepSeek-V3-KG-Graph-RAG broadtype,DeepSeek-V3-KG-Graph-RAG BLEU-1,DeepSeek-V3-KG-Graph-RAG BLEU-2,DeepSeek-V3-KG-Graph-RAG BLEU-avg,DeepSeek-V3-KG-Graph-RAG broadtype BLEU-avg,DeepSeek-V3-KG-Graph-RAG BLEU-avg-final
Azimuth,Bone Marrow,"CRTAM,IFNG,CD8A,XCL1,GZMK,TIGIT,CCL4L2,CD8B,CD160,XCL2",CD8 Effector 1,"effector CD8-positive, alpha-beta T cell",CL:0001050,t/nk cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Bone Marrow,"ZNF683,PRSS23,KLRC2,FCRL6,S1PR5,GZMH,FGFBP2,PATL2,TRGC2,CD3G",CD8 Effector 2,"effector CD8-positive, alpha-beta T cell",CL:0001050,t/nk cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Bone Marrow,"GZMK,CD160,CD8A,KLRB1,LAG3,CCL4,XCL2,GZMM,XCL1,CCL3",CD8 Effector 3,"effector CD8-positive, alpha-beta T cell",CL:0001050,t/nk cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Bone Marrow,"CD8B,CD8A,GZMK,IL7R,BCL11B,CD3E,PIK3IP1,CD6,TRAC,SPOCK2",CD8 Memory,"CD8-positive, alpha-beta memory T cell",CL:0000909,t/nk cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Bone Marrow,"NELL2,CD8B,S100B,TRABD2A,CCR7,OXNAD1,FLT3LG,MAL,LEF1,CAMK4",CD8 Naive,"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,t/nk cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Bone Marrow,"IDO1,XCR1,TACSTD2,CLEC9A,WFDC21P,CLNK,CADM1,DNASE1L3,BATF3,LGALS2",Conventional Dendritic Cell 1,conventional dendritic cell,CL:0000990,dendritic cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Bone Marrow,"ENHO,CLEC10A,CD1C,IL13RA1,PLBD1,LGALS2,CD33,IGSF6,IFI30,FCER1A",Conventional Dendritic Cell 2,conventional dendritic cell,CL:0000990,dendritic cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Bone Marrow,"ACY3,PRSS2,C1QTNF4,SPINK2,SMIM24,NREP,CD34,DNTT,FLT3,SPNS3",Common Lymphoid Progenitor,common lymphoid progenitor,CL:0000051,progenitor cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Bone Marrow,"CNRIP1,GATA2,ITGA2B,TFR2,GATA1,KLF1,CYTL1,MAP7,FSCN1,APOC1",Early Erythroid,,,erythroid cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Bone Marrow,"MYCT1,CRHBP,NPR3,AVP,GATA2,HPGDS,CYTL1,CRYGD,IGSF10,PBX1",Erythroid Megakaryocyte Progenitor,megakaryocyte-erythroid progenitor cell,CL:0000050,progenitor cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Bone Marrow,"SERPINB10,RNASE3,MS4A3,PRTN3,ELANE,AZU1,CTSG,RNASE2,RETN,NPW",Granulocyte Monocyte Progenitor,granulocyte monocyte progenitor cell,CL:0000557,progenitor cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Bone Marrow,"CRHBP,AVP,MYCT1,BEX1,NPR3,CRYGD,MSRB3,CD34,NPDC1,MLLT3",Hematopoeitic Stem Cell,hematopoietic stem cell,CL:0000037,stem cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Bone Marrow,"LDB2,CD160,XCL2,KLRB1,XCL1,KLRF1,KLRD1,KLRC1,TRDC,GZMM",Innate Lymphoid Cell,innate lymphoid cell,CL:0001065,innate lymphoid cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Bone Marrow,"CTSE,TSPO2,IFIT1B,TMEM56,RHCE,RHAG,SPTA1,ADD2,EPCAM,HBG1",Late Erythroid,,,erythroid cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Bone Marrow,"AVP,CRHBP,C1QTNF4,BEX1,NPR3,CD34,NPW,SMIM24,CSF3R,NPDC1",Lymphoid Primed Multipotent Progenitor,early lymphoid progenitor,CL:0000936,progenitor cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Bone Marrow,"SPIC,FABP3,CD5L,CCL18,C1QC,C1QB,FABP4,C1QA,APOE,SELENOP",Macrophage,macrophage,CL:0000235,macrophage/monocyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Bone Marrow,"KLRB1,IL7R,TNFRSF25,SPOCK2,RORA,NCR3,GZMK,KLRG1,TRGC2,CD6",Mucosal associated invariant T,mucosal invariant T cell,CL:0000940,t/nk cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Bone Marrow,"FCRL2,TNFRSF13B,ARHGAP24,PNOC,FCER2,FCRLA,BLK,HLA-DOB,MS4A1,TNFRSF13C",Memory B,memory B cell,CL:0000787,b cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Bone Marrow,"FCRL2,FCRL1,ARHGAP24,FCRL5,FCER2,FCRLA,PAX5,CD19,HLA-DOB,CD22",Naive B,naive B cell,CL:0000788,b cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Bone Marrow,"SH2D1B,PRSS23,S1PR5,LAIR2,KLRC1,PTGDR,FGFBP2,FCRL6,TBX21,KLRC2",Natural Killer,natural killer cell,CL:0000623,t/nk cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Bone Marrow,"SPTSSB,NCAM1,KLRC1,XCL1,IL18RAP,XCL2,IL2RB,KLRF1,TNFRSF18,KLRD1",Natural Killer CD56+,,,t/nk cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Bone Marrow,"GZMA,GZMB,TRDC,PRF1,TYMS,FGFBP2,KLRF1,CD247,GZMH,CCL4",Proliferating Natural Killer,,,t/nk cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Bone Marrow,"ASIP,CLEC4C,SCAMP5,PROC,PTCRA,SCT,SHD,PPM1J,LILRA4,LRRC26",Plasmacytoid Dendritic Cell,plasmacytoid dendritic cell,CL:0000784,dendritic cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Bone Marrow,"SDC1,IGLC6,IGLV6-57,TNFRSF17,IGLV3-1,TNFRSF13B,IGLC7,JSRP1,FCRL5,IGKV1-5",Plasma,plasma cell,CL:0000786,b cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Bone Marrow,"RGS18,C2orf88,TMEM40,GP9,PF4,PPBP,DAB2,SPARC,RUFY1,F13A1",Platelet,platelet,CL:0000233,platelet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Bone Marrow,"NPY,LCN6,RAG2,HMHB1,ARPP21,AKAP12,RAG1,C10orf10,CYGB,SLC8A1-AS1",Precursor B,precursor B cell,CL:0000817,b cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Bone Marrow,"ENHO,CLEC10A,RNASE2,PLBD1,FCER1A,IGSF6,MNDA,SAMHD1,ALDH2,PAK1",Precursor Myeloid Dendritic Dell,,,progenitor cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Bone Marrow,"SCT,SHD,LILRA4,LILRB4,PTPRS,TNNI2,PLD4,SPIB,IRF8,TNFRSF21",Precursor Plasmacytoid Dendritic Cell,,,progenitor cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Bone Marrow,"CYGB,UMODL1,EBF1,MME,VPREB1,DNTT,IGLL1,UHRF1,BLNK,AGPS",Progenitor B,pro-B cell,CL:0000826,progenitor cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Bone Marrow,"CLEC1B,SPX,WFDC1,ANXA3,CMTM5,SELP,RBPMS2,ARHGAP6,GP9,LTBP1",Progenitor Megakaryocyte,megakaryocyte progenitor cell,CL:0000553,progenitor cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Bone Marrow,"IGFBP5,CP,TF,DCN,LUM,COL1A2,CRH,TNC,SPARCL1,BMP5",Stromal,stromal cell,CL:0000499,stromal cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Bone Marrow,"RRM2,MKI67,BIRC5,LCK,SH2D1A,CLSPN,CDT1,TK1,TOP2A,TRAC",Proliferating T,,,t/nk cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Bone Marrow,"BMP3,CFAP73,ARPP21,IGLC5,APBB2,HRK,DTX1,AKAP12,IGLC6,MME",Transitional B,transitional stage B cell,CL:0000818,b cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Lung,"C1QB, C1QA, HLA-DRB1, AIF1, LYZ, CTSZ, CTSL, FCER1G, C1QC, LAPTM5",Macrophages,macrophage,CL:0000235,macrophage/monocyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Lung,"GZMA, CD7, CCL4, CST7, NKG7, GNLY, CTSW, CCL5, GZMB, PRF1",Innate lymphoid cell NK,natural killer cell,CL:0000623,t/nk cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Lung,"NAPSA, SFTPD, PEBP4, SLC39A8, SLC34A2, CYB5A, MUC1, S100A14, SFTA2, SFTA3",AT2,type II pneumocyte,CL:0002063,epithelial cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Lung,"VWF, MGP, RAMP3, GNG11, RAMP2, SPARCL1, IGFBP7, CLEC14A, ACKR1, PECAM1",EC venous,vein endothelial cell,CL:0002543,endothelial cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Lung,"CD69, CORO1A, CXCR4, CD3E, TRBC2, TRAC, CD2, CCL5, IL32, CD3D",T cell lineage,T cell,CL:0000084,t/nk cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Lung,"SPARCL1, SOX17, IFI27, TM4SF1, A2M, CLEC14A, GIMAP7, CRIP2, CLDN5, PECAM1",EC arterial,endothelial cell of artery,CL:1000413,endothelial cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Lung,"BGN, DCN, MGP, SPARC, CALD1, LUM, COL6A1, IGFBP7, COL1A2, C1S",Fibroblasts,fibroblast,CL:0000057,fibroblast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Lung,"SFTA2, CEACAM6, FXYD3, CAV1, TSPAN13, KRT7, ADIRF, HOPX, AGER, EMP2",AT1,type I pneumocyte,CL:0002062,epithelial cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Lung,"SNTN, FAM229B, TMEM231, C5orf49, C12orf75, GSTA1, C11orf97, RP11-356K23.1, CD24, RP11-295M3.4",Multiciliated lineage,multi-ciliated epithelial cell,CL:0005012,epithelial cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Lung,"TSC22D3, ISG20, IGHA1, CORO1A, IGKC, IGLC2, LTB, CD79A, CD37, MS4A1",B cell lineage,B cell,CL:0000236,b cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Lung,"KRT19, CEACAM6, WFDC2, TACSTD2, CXCL17, BPIFB1, MUC1, CP, KRT7, PIGR",Secretory,secretory cell,CL:0000151,secretory cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Lung,"FCER1G, S100A9, S100A12, VCAN, COTL1, S100A8, CD14, LST1, FCN1, AIF1",Monocytes,monocyte,CL:0000576,macrophage/monocyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Lung,"CCL28, PIP, ZG16B, PIGR, SEC11C, MARCKSL1, SELM, LTF, TCN1, AZGP1",Submucosal Secretory,,,secretory cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Lung,"IFI27, TM4SF1, CLEC14A, CDH5, PECAM1, HYAL2, SPARCL1, EGFL7, CLDN5, AQP1",EC capillary,capillary endothelial cell,CL:0002144,endothelial cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Lung,"PPFIBP1, GNG11, RAMP2, CCL21, MMRN1, IGFBP7, SDPR, TM4SF1, CLDN5, ECSCR",Lymphatic EC mature,,,endothelial cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Lung,"AKAP12, TFF3, SDPR, CLDN5, TCF4, TFPI, TIMP3, GNG11, CCL21, IGFBP7",Lymphatic EC differentiating,,,endothelial cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Lung,"CORO1A, MS4A6A, ITGB2, GPR183, HLA-DRB1, HLA-DPB1, HLA-DPA1, HLA-DQB1, HLA-DQA1, HLA-DMA",Dendritic cells,dendritic cell,CL:0000451,dendritic cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Lung,"CALD1, CYR61, TAGLN, MT1X, PRELP, TPM2, GPX3, CTGF, IGFBP5, SPARCL1",Myofibroblasts,myofibroblast cell,CL:0000186,myofibroblast cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Lung,"VWA5A, RGS13, C1orf186, HPGDS, CPA3, GATA2, MS4A2, KIT, TPSAB1, TPSB2",Mast cells,mast cell,CL:0000097,granulocyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Lung,"NEXN, ACTG2, LMOD1, IGFBP7, PPP1R14A, DES, FLNA, TPM2, PLN, SELM",Fibromyocytes,,,muscle cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Lung,"S100A16, TUBB, HMGN2, COX20, LSM2, HMGN1, ARPC1A, ECSCR, EID1, MARCKS",Lymphatic EC proliferating,,,endothelial cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Tonsil,"MIR155HG, SLAMF1, MYC, CD83, HSP90AB1, DDX21, EGR3, FCER2, REL, SYNGR2",Activated Naive B,,,b cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Tonsil,"CHGB, KSR2, IL21, GNG4, CD40LG, ICOS, CTLA4, PDCD1, DRAIC, ICA1",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,t/nk cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Tonsil,"GZMH, CXCR6, TRGC2, ITGA1, KLRG1, MIAT, CD8A, CCL5, PPP2R2B, GPR171",CD8 T,"CD8-positive, alpha-beta T cell",CL:0000625,t/nk cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Tonsil,"E2F8, CDCA2, NUGGC, CLSPN, ANLN, MYBL1, FAM111B, KIF4A, NUF2, GTSE1",Cycling B,,,b cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Tonsil,"S100A1, ERH, NPM1, C1QBP, MIF, CXCL14, PRMT1, RPLP0, YBX1, POLR2I",Cycling follicular dendritic,,,dendritic cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Tonsil,"CIT, KPNA2, CSF1R, POLQ, CKAP2L, KIF14, AURKA, MMP9, KIF15, AURKB",Cycling myeloid,,,myeloid cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Tonsil,"IL21, CTLA4, CORO1B, MAF, KIF15, SMC3, RRM2, PDCD1, SPOCK2, ICOS",Cycling T,,,t/nk cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Tonsil,"CLEC9A, ZNF366, CLEC10A, ST18, RTN1, LAD1, AC090559.1, CPVL, CCDC26, SHTN1",Dendritic,dendritic cell,CL:0000451,dendritic cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Tonsil,"FGFBP2, PTPN3, LAYN, FASLG, IL19, CAV1, MIR4422HG, DTHD1, PRDM8, CD5",Double negative T,double negative thymocyte,CL:0002489,t/nk cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Tonsil,"IL36A, C5orf66-AS1, MAB21L4, RNF39, FUT3, SPRR1A, C1orf116, KLK11, RNASE7, PADI1",Epithelial,epithelial cell,CL:0000066,epithelial cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Tonsil,"AL139379.1, NR2F1, NR2F2-AS1, OSMR-AS1, SERPINA3, LINC02251, TCIM, GABRG3, CACNA2D1, DZIP1",Follicular dendritic,follicular dendritic cell,CL:0000442,dendritic cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Tonsil,"SERPINA9, SUGCT, LOXL2, MEF2B, ELL3, CD40, SYBU, DNAJC10, SUSD3, AC012368.1",Germinal center B,germinal center B cell,CL:0000844,b cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Tonsil,"ADGRG3, FCGR3B, MCEMP1, ORM1, CXCL2, PI3, AQP9, SLC11A1, CXCL8, G0S2",Granulocytes,granulocyte,CL:0000094,granulocyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Tonsil,"KRT81, KRT86, SLC4A10, SH2D1B, RORC, IL23R, LIF, TNFSF11, NCR1, XCL1",Innate lymphoid,innate lymphoid cell,CL:0001065,innate lymphoid cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Tonsil,"TAL1, AL157895.1, TPSD1, ADCYAP1, IL1RL1, CDK15, HDC, GCSAML, MLPH, CALB2",Mast,mast cell,CL:0000097,granulocyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Tonsil,"FCRL4, TNFRSF13B, BHLHE41, CLECL1, FCGR2B, SP110, SP140, CCR6, TLR10, FCRL2",Memory B,memory B cell,CL:0000787,b cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Tonsil,"AC104809.2, CD163, SULT1C2, VCAN, FPR3, CD163L1, TCN2, STAB1, VNN1, RTN1",Monocyte/macrophage,"monocyte,macrophage","CL:0000576,CL:0000235",macrophage/monocyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Tonsil,"ABCB4, HVCN1, LINC00926, LINC02397, SP100, VAV3-AS1, COL19A1, RABEP2, FCER2, IGHD",Naive B,naive B cell,CL:0000788,b cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Tonsil,"CHRM3-AS2, TOMM7, RPL30, ITGA6, LDHB, NOSIP, RPS25, RPS14, RPS15A, RPL11",Naive CD4 T,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,t/nk cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Tonsil,"LINC02446, CD8B, LRRN3, LDLRAP1, CD8A, CCR7, NELL2, PRKCQ-AS1, RCAN3, RPS12",Naive CD8 T,"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,t/nk cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Tonsil,"KIR2DL4, SPTSSB, SH2D1B, ZMAT4, KLRC1, KLRC2, KLRC3, NCR1, NCAM1, XCL2",Natural killer,natural killer cell,CL:0000623,t/nk cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Tonsil,"IGKV1-6, IGHV3-21, IGKV1-39, IGLV3-27, IGLV3-19, IGLV4-69, IGKV3-15, IGHV1-18, IGHV4-34, IGLV2-23",Plasma,plasma cell,CL:0000786,b cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Tonsil,"AC097375.1, CYYR1, C5orf64, KCNK17, KCNK10, LCNL1, LINC01478, ADGRB3, RASD1, LINC02207",Plasmacytoid dendritic,plasmacytoid dendritic cell,CL:0000784,dendritic cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Tonsil,"RAG2, SPTA1, ARPP21, VPREB1, RAG1, HRK, IGLL1, MME, ACSM3, AEBP1",preB/T,,,leukocyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Adipose,"GPAM, ADIPOQ, ACACB, PCDH9, GHR, TRHDE, SORBS1, PLIN1, PDE3B, WDPCP",Adipocyte,fat cell,CL:0000136,fat cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Adipose,"IGKC, MS4A1, BANK1, IGHG1, IGLC3, IGHGP, FCRL1, BCL11A, IGHA1, JCHAIN",B,B cell,CL:0000236,b cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Adipose,"HLA-DRB1, FLT3, HLA-DPB1, HLA-DRA, HLA_DQA1, IL1R2, HLA-DPA1, HLA-DQB1, CD74, RTN1",Dendritic,dendritic cell,CL:0000451,dendritic cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Adipose,"KCNIP4, DPP6, PRLR, MEIS1, SYT1, AC012404.1, CNTN4, RORA, PAPPA, TSHZ2",Endometrial,,,uterus cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Adipose,"MECOM, PTRB, VWF, ANO2, BTNL9, LDB2, ADGRL4, PTPRM, JAM2, CADM2",Endothelial,endothelial cell,CL:0000115,endothelial cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Adipose,"MMRN1, CCL21, AL357507.1, PROX1, PPFIBP1, NRG3, RELN, STOX2, TFPI, LINC02147",Lymphatic Endothelial,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Adipose,"F13A1, MRC1, LGMN, FTL, CYBB, RBPJ, FRMD4B, SCN9A, CD163L1, IQGAP2",Macrophage,macrophage,CL:0000235,macrophage/monocyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Adipose,"CPA3, KIT, TPSB2, NTM, TPSAB1, HGPD, MS4A2, SLC24A3, HDC, IL18R1",Mast,mast cell,CL:0000097,granulocyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Adipose,"AP000561.1, AC005699.1, LINC02360, MSLN, KCTD8, PKHD1L1, COL8A1, LSAMP, PTPRQ, FAM155A",Mesothelial,mesothelial cell,CL:0000077,epithelial cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Adipose,"VCAN, FCN1, SLC11A1, CSF3R, IL1B, KYNU, SAMSN1, CTSS, RNF144B, COTL1",Monocyte,monocyte,CL:0000576,macrophage/monocyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Adipose,"CSF3R, EPHB1, SORL1, GLT1D1, KCNJ15, SLC25A37, LUCAT1, CPPED1, LRRK2, MXD1",Neutrophil,neutrophil,CL:0000775,granulocyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Adipose,"GNLY, CD247, SAMD3, NKG7, KLRD1, TXK, PYHIN1, CCL5, CCL4, KLRF1",NK,natural killer cell,CL:0000623,t/nk cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Adipose,"COL25A1, POSTN, DLC1, STEAP4, MYO1B, RGS5, EBF2, THSD7B, KCNAB1, RGS6",Pericyte,pericyte,CL:0000669,pericyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth,Adipose,"MYH11, TAGLN, ADGRL3, SORBS2, RCAN2, MYOCD, LMOD1, CARMN, CALD1, RGS6",Smooth Muscle,smooth muscle cell,CL:0000192,muscle cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
